"gene_symbol","log_fc_with_age","fdr_with_age","log_fc_without_age","fdr_without_age"
"ST3GAL1",0.474773107129874,0.0292827066519063,0.47599182384779,0.0250885334322999
"ST3GAL2",-0.140517194212288,0.456446488056445,-0.145431897218842,0.43746423107347
"ST3GAL3",-0.166656713470116,0.635035969860699,-0.140093014832747,0.719734488970412
"ST3GAL4",0.999006891376803,0.053756235034936,1.02423790150585,0.0498331375292361
"ST3GAL5",-0.287290274993803,0.231732176978987,-0.264517944111851,0.329087433613354
"ST3GAL6",-0.316416786520038,0.380526955485056,-0.32222359281915,0.361647559415544
"ST6GAL1",0.632151816382561,0.038048110547632,0.613317217541498,0.0474369474892891
"ST6GAL2",-0.178028817634932,0.704336322189269,-0.153475289145761,0.753877069303562
"ST6GALNAC2",0.185667698465991,0.709201896052653,0.210556817161012,0.67941924305257
"ST6GALNAC3",-1.18991319514189,0.124404304756222,-1.21925039407595,0.113267766575108
"ST6GALNAC4",1.27983354657217,0.0197409500403066,1.2868585070057,0.0158679434069498
"ST6GALNAC5",-0.0525830736293951,0.924492737629548,-0.0661549102566072,0.902437478723001
"ST6GALNAC6",0.287065830123988,0.35083353648871,0.278537093860202,0.361350219830197
"ST7",-0.0435788764745206,0.782037940448525,-0.048575777122088,0.760675055874757
"ST7L",-0.561031763153272,0.0689907245197934,-0.575169646878986,0.0640188744755751
"ST8SIA1",1.0982453219546,0.139451333714752,1.07735558556212,0.140296591556305
"ST8SIA4",0.122858454480974,0.841652616893223,0.132464430505134,0.826870138114697
"ST8SIA5",-0.443038806341159,0.254173148748007,-0.432173365469525,0.25940630164885
"STAB1",0.484897130125156,0.174020338094677,0.48281821109709,0.164403880178861
"STAB2",0.0724006926154467,0.918852295348887,0.0721003095004091,0.916639386303711
"STAC",-0.18092285888288,0.763121235421286,-0.159447235030071,0.792882047863447
"STAC2",0.988133544050392,0.0945501417804406,0.968881718090286,0.0966417811897897
"STAC3",1.17150407192024,0.0230294800587812,1.1680495764658,0.019835741018662
"STAG1",0.20132739129205,0.294197447184849,0.20279841874698,0.280905280413875
"STAG2",-0.166742299518703,0.459232745580021,-0.180186014329755,0.441515967712335
"STAG3",0.718776973402424,0.350914399190895,0.7081330540148,0.34652626258069
"STAM",-0.161604739878335,0.443101169825153,-0.176979460402238,0.431494756068708
"STAM2",-0.00139181820849066,0.99585057069515,-0.014957506732161,0.956500520777083
"STAMBP",0.114205323351312,0.392750394644034,0.109713064591994,0.418606713565912
"STAMBPL1",0.070871521311318,0.874614097065992,0.0872830168722505,0.845120453537279
"STAP1",0.242015964443045,0.633339381539412,0.245821067877812,0.620067312717374
"STAP2",-0.675525454736773,0.114385529273375,-0.672343919807975,0.106145616760118
"STARD10",0.284120277311784,0.437962705960665,0.283463260106326,0.427946273706702
"STARD13",0.36824187071988,0.159666746944385,0.363498920027924,0.155920827668698
"STARD3",0.175624029159643,0.453481186799851,0.193718707146179,0.443129832673054
"STARD3NL",-0.105853371482671,0.615919064370149,-0.0872186146991174,0.721414402445912
"STARD4",-0.419652083488177,0.341205386074365,-0.449914199606678,0.331649738970854
"STARD5",-0.304518677878787,0.167526559455123,-0.309394823673185,0.154515175471329
"STARD7",0.0754698132893319,0.532416753520463,0.0740847742449944,0.54079673014339
"STARD8",-1.01336281639934,0.00670220056546082,-1.02236114884324,0.00522492515049976
"STARD9",0.22704316428728,0.58758791356415,0.224847885322922,0.58337733976531
"STAT1",0.598592267430019,0.091011324736422,0.603573978204228,0.0811251148209061
"STAT2",0.351130723983138,0.194636694170828,0.355066554437027,0.180117165053436
"STAT3",1.00273246640634,0.00295747396639751,0.997215392062082,0.00260121202556558
"STAT4",1.08718571124775,0.108351662549167,1.1099781597001,0.098322457835554
"STAT5A",0.449454262660259,0.103400822795554,0.458672383283216,0.0943754767587927
"STAT5B",-0.112935029386553,0.46619037792298,-0.114023936450401,0.455814624744002
"STAT6",0.747736121455454,0.036807866305915,0.760008660206953,0.0324441151715671
"STAU1",-0.0572248998409233,0.628822080240189,-0.0565328687949052,0.634532601740292
"STAU2",-0.579114394227039,0.0110098402126771,-0.592898363383727,0.0114026353831008
"STBD1",-0.172493197416644,0.723037596214666,-0.185858276698059,0.701339341178161
"STC1",-1.52453691672996,0.019803145149502,-1.5207879819153,0.0165409286327679
"STC2",0.646733560894802,0.161139057497311,0.671934523617006,0.154071626779785
"STEAP1",0.178788531520533,0.714282560701525,0.199331307018276,0.686199833422515
"STEAP2",-0.599932179949301,0.091011324736422,-0.620824137968518,0.0886851098935893
"STEAP3",0.916443749703164,0.00698531122215014,0.906766082146029,0.00626703473880598
"STEAP4",3.34422904177113,0.00583861250673901,3.37038126676302,0.00436973994233993
"STEEP1",-0.0755205603354154,0.521169877665098,-0.064780309680776,0.639884189446513
"STIL",0.586621201270373,0.0940465370616174,0.594890020737398,0.0857526711212281
"STIM1",0.367230266008247,0.123109721033811,0.369044897355232,0.112557885243076
"STIM2",0.171149989926099,0.185415670971532,0.163498929485048,0.226642699320045
"STIMATE",-0.0252405605532191,0.880925508883899,-0.0223189541737332,0.8946136115078
"STING1",1.37046055737945,0.0416663030593837,1.40634577508246,0.0391643490517056
"STIP1",-0.317816103123529,0.162525611523665,-0.299531930194282,0.22092564872781
"STK10",1.28573950319799,0.0233342550134511,1.29967608516963,0.0197583118848893
"STK11",0.0227326129124084,0.919380508374946,0.044263676960135,0.861335122954633
"STK11IP",0.0564064331635539,0.874619884159118,0.0677846312438679,0.848065193273659
"STK16",-0.566489406047608,0.0062928196092467,-0.562088090762231,0.00522492515049976
