"gene_symbol","err_positive","control_positive","log_fc","fdr","ave_expr"
"ATG101",FALSE,FALSE,-0.342412030828602,0.048990244834834,5.1880404614819
"ATG4C",FALSE,FALSE,-0.853221856276038,0.0603274290029754,4.14685323273506
"ATG4D",FALSE,FALSE,-0.404304850695058,0.0897395192618546,5.98753252778339
"ATP10D",FALSE,FALSE,-0.495377019779987,0.043690179610282,4.61402500548018
"ATP11A",FALSE,FALSE,-0.804789786691265,0.0865771920717543,8.07101734817895
"ATP23",FALSE,FALSE,-0.289760083737799,0.0643998254799013,3.26568954259121
"ATP2B2",TRUE,FALSE,-1.3255986446562,0.0479243460142626,1.72853395670176
"ATP2C1",FALSE,FALSE,-0.432840536737691,0.0362214348885049,6.30156716791532
"ATP5F1A",FALSE,FALSE,-0.782881685764474,0.0355129683688514,9.35466902825716
"ATP5F1B",TRUE,TRUE,-0.693295568367699,0.0849472478637388,10.0228933282804
"ATP5F1C",FALSE,FALSE,-0.69621468533628,0.0376014451198497,7.811479317177
