"gene_symbol","log_fc","fdr","mean_tissues","frac_kidney_specific","mean_fold_change","n_enhancers","state"
"ANKRD12",0.307459136815153,0.212010472767172,1,1,3.371,2,"unchanged"
"ANKRD13A",0.24641788182961,0.200473756119512,7,0,6.913,1,"unchanged"
"ANKRD16",0.0954366957094219,0.724077648558777,3,0,3.446,1,"unchanged"
"ANKRD22",-0.0132502700014663,0.986559913827966,2,0,4.344,1,"unchanged"
"ANKRD23",-0.290215234924873,0.222858537361055,3.5,0,3.987,2,"unchanged"
"ANKRD33",-0.00742455342576398,0.989228966228269,1,1,3.374,1,"unchanged"
"ANKRD33B",1.35910512197555,0.0154162796343122,3,0,2.879,2,"induced"
"ANKRD39",-0.287346889842721,0.364349157391533,6,0,3.673,2,"unchanged"
"ANKRD44",0.0279323344689049,0.928138211907415,2.333,0.5,4.475,6,"unchanged"
"ANKRD50",-0.351694747130098,0.246370096738025,4,0,3.221,1,"unchanged"
"ANKRD6",0.230084081832269,0.66868661750947,2,0,3.473,1,"unchanged"
"ANKRD9",0.22082870936144,0.461797605235782,7,0,18.451,1,"unchanged"
"ANKS1A",-0.464903606610597,0.0905709192589776,4,0,3.491,14,"repressed"
"ANKS3",-0.22568757228195,0.122418061000996,4.667,0,10.633,3,"unchanged"
"ANKS4B",-1.94310389527709,0.00424104458279326,2.429,0.286,3.521,7,"repressed"
"ANO1",1.22172599165399,0.0603253918394677,2.8,0,4.212,10,"induced"
"ANO10",-0.311905239776896,0.580352519593489,1.5,0.5,4.102,4,"unchanged"
"ANO3",0.0921027225562516,0.86951517572713,1,1,2.914,1,"unchanged"
"ANO6",-0.102775723609391,0.678120225936642,5,0,4.447,1,"unchanged"
"ANO9",1.77222795957824,0.097792927800864,2.5,0,4.524,2,"induced"
"ANPEP",-1.59119787335568,0.0137795646751651,2.333,0.167,3.643,6,"repressed"
"ANTXR2",0.226221766499123,0.393646060512588,4.667,0,3.401,3,"unchanged"
"ANXA1",1.40525078964072,0.0117361806420007,5,0,4.294,1,"induced"
"ANXA11",0.183407892731582,0.221029839944815,4.077,0,4.177,13,"unchanged"
"ANXA13",-0.40389890430704,0.772441357362473,1.625,0.5,3.715,8,"unchanged"
"ANXA2",1.40821579252418,0.00906890665518447,6,0,3.796,2,"induced"
"ANXA3",1.40857523671105,0.0103506261774727,3,0,3.681,1,"induced"
"ANXA6",0.413064676428025,0.329621745662379,4,0,5.065,2,"unchanged"
"ANXA7",-0.0506061728200731,0.838835314424782,7,0,18.249,1,"unchanged"
"AOAH",2.63086722345612,0.00900256111141386,2,0,4.46,1,"induced"
"AOC1",-1.84807046961203,0.0692511106309885,1.833,0.333,5.746,6,"repressed"
"AOC3",0.303118296522164,0.580532457153004,4.5,0.167,7.712,6,"unchanged"
"AOPEP",0.204570918911629,0.331982240934334,3,0.667,4.11,3,"unchanged"
"AP1B1",0.401619596378254,0.058344926841289,2.333,0,3.678,3,"induced"
"AP1G1",-0.30283996027169,0.206524713551853,6,0,3.56,2,"unchanged"
"AP1G2",-0.492084721163803,0.0197081886017078,6,0,9.763,1,"repressed"
"AP1M2",0.0617472932915879,0.844082801590369,5.5,0,5.82,4,"unchanged"
"AP1S3",-0.143141396995211,0.566416240095891,2.143,0.286,3.317,7,"unchanged"
